input_file, Read, PC, PCSA, HLL, KMV, MC, RC
datasets/dracula.txt, 0.00253456, 0.00302165, 0.00325054, 0.00325236, 0.0103907, 0.00398051, 0.00646848
datasets/dracula.txt, 0.00258452, 0.00304324, 0.00312436, 0.00316429, 0.0113882, 0.00406227, 0.00629267
datasets/dracula.txt, 0.00295991, 0.00304976, 0.00310284, 0.00333704, 0.0103586, 0.00408219, 0.00654988
datasets/dracula.txt, 0.00261464, 0.00305892, 0.0031633, 0.00329444, 0.010353, 0.00399318, 0.0063931
datasets/dracula.txt, 0.00250323, 0.00306888, 0.00311064, 0.003538, 0.0104161, 0.00401272, 0.00665496
datasets/dracula.txt, 0.0025574, 0.0030696, 0.00316824, 0.00335708, 0.0104173, 0.00410602, 0.00665509
datasets/dracula.txt, 0.00264061, 0.00304963, 0.00317992, 0.00325401, 0.0105959, 0.00419881, 0.00643788
datasets/dracula.txt, 0.00244827, 0.00322053, 0.00319628, 0.0032406, 0.0107462, 0.00422245, 0.00643148
datasets/dracula.txt, 0.00269889, 0.00308216, 0.00323424, 0.00330614, 0.0104844, 0.0041171, 0.00654593
datasets/dracula.txt, 0.00256194, 0.00305529, 0.00323311, 0.0032891, 0.0104299, 0.00411543, 0.00664965
datasets/dracula.txt, 0.00251135, 0.00313078, 0.00315981, 0.00336446, 0.0107738, 0.00406292, 0.00656106
datasets/dracula.txt, 0.00254694, 0.00312468, 0.0031881, 0.00328024, 0.0105394, 0.00415581, 0.00651319
datasets/dracula.txt, 0.00253471, 0.0032392, 0.00323325, 0.0032108, 0.0103554, 0.00405625, 0.00645762
datasets/dracula.txt, 0.00253662, 0.00318617, 0.00360175, 0.00339213, 0.0106289, 0.00411051, 0.006531
datasets/dracula.txt, 0.00248302, 0.00348964, 0.00329472, 0.00346932, 0.0106102, 0.00408968, 0.00663311
datasets/dracula.txt, 0.00263309, 0.00315075, 0.00327174, 0.00314712, 0.0108213, 0.00411167, 0.00664318
datasets/dracula.txt, 0.00251852, 0.00320302, 0.00321939, 0.00330102, 0.0103916, 0.00404695, 0.00652337
